"Colony","AnimalID","Treatment","ExpStart","Dig","Sweep","Kick","NestMaterial","NestBuild","FoodCarry","Miscell","Gnaw","Eat","Groom","SelfGroom","Sparr","Rest","Huddling","OutOfSight","ObservedDuration","DurationSeen","WorkNoGnaw","Nest","Active","Active_NoG","Seen_NoG","Testosterone","Weight","WeightRank","QueueLength","QueueRank","SameSex_CompNB","GroupSize","NB_Adults60","NB_Adults70","NB_Adults80","NB_Adults90"
"Gemsbok 10","G10F011","Control",2015-02-13,5.3,63.4333333333333,8.55,0.283333333333333,0.0333333333333333,1.65,178.533333333333,25.4166666666667,40.1,1.08333333333333,7.35,7.15,1.7,0,25.8833333333333,365.55,339.666666666667,79.25,0.316666666666667,337.966666666667,312.55,314.25,0.017,134,12,7,3,1,16,16,16,15,15
"Gemsbok 10","G10F011","Tlow",2015-03-13,4.16666666666667,71.7,6.36666666666667,2.61666666666667,0.633333333333333,0.433333333333333,125.3,5.63333333333333,31.4,0.133333333333333,3.61666666666667,0.133333333333333,0.6,0,28.0833333333333,280.833333333333,252.75,85.9166666666667,3.25,252.15,246.516666666667,247.116666666667,0.067,142,11,7,3,0,15,15,15,15,14
"Gemsbok 10","G10F011","Thigh",2015-02-27,4.26666666666667,64.2666666666667,9.2,0,0,5.91666666666667,161.183333333333,8.45,55.75,0.283333333333333,6.68333333333333,3.13333333333333,2.76666666666667,0,30.9333333333333,352.633333333333,321.7,83.65,0,318.933333333333,310.483333333333,313.25,0.256,136,12,7,3,1,16,16,16,15,15
"Gemsbok 10","G10F015","Control",2015-02-27,1.51666666666667,37.7833333333333,2.53333333333333,0,0.05,2.68333333333333,104.316666666667,4.95,42.35,0.85,2.51666666666667,6.96666666666667,1.23333333333333,0,50.0833333333333,257.2,207.116666666667,44.5666666666667,0.05,205.883333333333,200.933333333333,202.166666666667,0.05,166,7,7,2,1,16,16,16,15,15
"Gemsbok 10","G10F015","Tlow",2015-02-13,1.26666666666667,22,5.2,0.116666666666667,0.05,0.666666666666667,117.45,1.43333333333333,38.7,5.98333333333333,12.6166666666667,11.35,0,0.366666666666667,29.7666666666667,246.633333333333,216.866666666667,29.3,0.166666666666667,216.866666666667,215.433333333333,215.433333333333,0.111,166,6,7,1,1,16,16,16,15,15
"Gemsbok 10","G10F015","Thigh",2015-03-13,1.26666666666667,29.9833333333333,6.83333333333333,0.95,1.21666666666667,1.11666666666667,142.383333333333,15.7,32.1833333333333,0.216666666666667,3.13333333333333,1.83333333333333,0.95,0.25,43.85,281.683333333333,237.833333333333,41.3666666666667,2.16666666666667,236.883333333333,221.183333333333,222.133333333333,0.201,172,3,7,1,1,15,15,15,15,14
"Gemsbok 11","G11F003","Control",2015-04-20,0.3,6.78333333333333,3.7,0.333333333333333,0.383333333333333,2.26666666666667,90.2,8.33333333333333,39.35,1.58333333333333,2.71666666666667,0.3,0.666666666666667,0,41.1166666666667,196.466666666667,155.35,13.7666666666667,0.716666666666667,154.683333333333,146.35,147.016666666667,0.02,107,9,7,5,1,13,12,12,12,12
"Gemsbok 11","G11F003","Tlow",2015-04-05,0.0166666666666667,8.45,1.21666666666667,0.0166666666666667,8.28333333333333,0.616666666666667,63.85,1.08333333333333,22.4166666666667,0.566666666666667,2.45,0.166666666666667,5.83333333333333,0,54.4166666666667,168.866666666667,114.45,18.6,8.3,108.616666666667,107.533333333333,113.366666666667,0.188,108,9,7,5,2,13,12,12,12,12
"Gemsbok 11","G11F003","Thigh",2015-03-23,0.0333333333333333,10.55,0.833333333333333,0.2,0,0.533333333333333,64.6666666666667,24.5833333333333,28.8833333333333,0.0833333333333333,3.95,2.81666666666667,4.15,0.333333333333333,38.6,180.25,141.65,12.15,0.2,137.5,112.916666666667,117.066666666667,0.531,108,9,7,5,2,13,12,12,12,11
"Gemsbok 11","G11F010","Control",2015-03-04,1.2,26.4166666666667,3.86666666666667,0.366666666666667,2.93333333333333,3.18333333333333,127.55,18.8166666666667,27.1166666666667,0.95,5.95,6.75,1.05,0,37.5166666666667,267.183333333333,229.666666666667,37.9666666666667,3.3,228.616666666667,209.8,210.85,0.033,105,8,7,4,3,13,12,12,12,11
"Gemsbok 11","G11F010","Tlow",2015-03-18,0.916666666666667,40.0166666666667,2.35,0.433333333333333,6.78333333333333,1.91666666666667,159.616666666667,6.06666666666667,33.1666666666667,2.3,10.9166666666667,2.01666666666667,3.78333333333333,0.316666666666667,43.8833333333333,313.8,269.916666666667,52.4166666666667,7.21666666666667,266.133333333333,260.066666666667,263.85,0.208,109,8,7,4,2,13,12,12,12,11
"Gemsbok 11","G11F010","Thigh",2015-02-18,3.01666666666667,70.2666666666667,7.18333333333333,0,2.65,3.51666666666667,249.066666666667,28.65,40.1333333333333,0.35,4.86666666666667,5.8,0.666666666666667,0.833333333333333,33.85,453.05,419.2,86.6333333333333,2.65,418.533333333333,389.883333333333,390.55,0.825,108,8,7,4,2,13,12,11,11,10
"Gemsbok 11","G11F011","Control",2015-03-18,0.483333333333333,7.28333333333333,2.6,0,2.61666666666667,1.78333333333333,154.116666666667,2.36666666666667,29.6666666666667,0,7.9,0.0666666666666667,25.3,0,53.4666666666667,287.65,234.183333333333,14.7666666666667,2.61666666666667,208.883333333333,206.516666666667,231.816666666667,0.026,125,6,7,2,0,13,12,12,12,11
"Gemsbok 11","G11F011","Tlow",2015-02-18,2.78333333333333,5.4,0.15,0,3.51666666666667,1.11666666666667,215.316666666667,13.1666666666667,29.5833333333333,0.05,7.36666666666667,0,7.4,0.133333333333333,68.5,354.383333333333,285.883333333333,12.9666666666667,3.51666666666667,278.483333333333,265.316666666667,272.716666666667,0.445,129,6,7,2,1,13,12,11,11,10
"Gemsbok 11","G11F011","Thigh",2015-03-04,0.333333333333333,0.1,0,0,1.65,0.4,102.6,0.5,33.1666666666667,0,2,0,0.05,0,58.4,199.35,140.95,2.48333333333333,1.65,140.9,140.4,140.45,0.488,123,6,7,2,0,13,12,12,12,11
"Gemsbok 11","G11F015","Control",2015-03-23,3.33333333333333,20.5833333333333,2.61666666666667,0.166666666666667,3.68333333333333,0.966666666666667,90.05,7.1,23.5333333333333,0.733333333333333,2.68333333333333,2.83333333333333,4.71666666666667,0,41.8166666666667,205.033333333333,163.216666666667,31.35,3.85,158.5,151.4,156.116666666667,0.044,115,8,7,4,2,13,12,12,12,11
"Gemsbok 11","G11F015","Tlow",2015-04-20,9.01666666666667,22.4166666666667,4.85,1.75,0.366666666666667,3.51666666666667,100.65,0.9,30.1166666666667,0.866666666666667,2.9,1.38333333333333,0.6,1.8,39.1,220.116666666667,181.016666666667,41.9166666666667,2.11666666666667,180.416666666667,179.516666666667,180.116666666667,0.213,117,8,7,4,1,13,12,12,12,12
"Gemsbok 11","G11F015","Thigh",2015-04-05,2.68333333333333,36.7333333333333,4.95,0.466666666666667,4.76666666666667,1.66666666666667,146.183333333333,12.3166666666667,35.8666666666667,1.71666666666667,6.06666666666667,3.9,14.95,6.28333333333333,42.5666666666667,320.7,278.133333333333,51.2666666666667,5.23333333333333,263.183333333333,250.866666666667,265.816666666667,0.333,114,8,7,4,3,13,12,12,12,12
"Gemsbok 13","G13F001","Control",2015-02-25,3.33333333333333,44.45,7.26666666666667,0.183333333333333,0.05,4.36666666666667,135.266666666667,23.5166666666667,44.15,0.45,9.93333333333333,9.81666666666667,31.4166666666667,0.2,17.45,331.833333333333,314.383333333333,59.65,0.233333333333333,282.966666666667,259.45,290.866666666667,0.028,163,5,7,3,1,10,9,9,9,9
"Gemsbok 13","G13F001","Tlow",2015-02-11,1.38333333333333,38.1166666666667,6,1.23333333333333,1.75,5.11666666666667,126.266666666667,52.0833333333333,26.05,0.133333333333333,4.7,25.4666666666667,4.35,1.43333333333333,26.2666666666667,335.45,309.183333333333,53.6,2.98333333333333,304.833333333333,252.75,257.1,0.191,156,5,7,3,1,10,9,9,9,9
"Gemsbok 13","G13F001","Thigh",2015-03-11,4.16666666666667,41.5166666666667,10.2833333333333,1.23333333333333,0.65,0.466666666666667,108.866666666667,38.7833333333333,26.5333333333333,0,8.56666666666667,3.51666666666667,0.483333333333333,0,36.3,281.316666666667,245.016666666667,58.3166666666667,1.88333333333333,244.533333333333,205.75,206.233333333333,0.48,166,3,7,1,2,10,9,9,9,9
"Gemsbok 13","G13F007","Control",2015-03-11,8.73333333333333,74.8833333333333,14.4166666666667,4.51666666666667,0.85,0.716666666666667,142.716666666667,43.7833333333333,57.7166666666667,0,5.66666666666667,0.766666666666667,0.116666666666667,3.1,8.25,366.283333333333,358.033333333333,104.116666666667,5.36666666666667,357.916666666667,314.133333333333,314.25,0.09,164,4,7,2,2,10,9,9,9,9
"Gemsbok 13","G13F007","Tlow",2015-02-25,1.46666666666667,51.2,10.0833333333333,0.366666666666667,0.0666666666666667,2.85,139.05,37.3333333333333,31.2166666666667,0,8.75,0.45,22.1333333333333,0.3,12.9666666666667,320.833333333333,307.866666666667,66.0333333333333,0.433333333333333,285.733333333333,248.4,270.533333333333,0.241,173,3,7,1,1,10,9,9,9,9
"Gemsbok 13","G13F007","Thigh",2015-02-11,6.86666666666667,77.4166666666667,23.1833333333333,0.333333333333333,1.15,5.91666666666667,172.016666666667,41.9,43.0166666666667,0.316666666666667,14.1333333333333,3.51666666666667,31.3833333333333,10.6333333333333,15.0166666666667,443.966666666667,428.95,114.866666666667,1.48333333333333,397.566666666667,355.666666666667,387.05,0.471,173,3,7,1,0,10,9,9,9,9
"Gemsbok 3","G3F008","Control",2015-02-06,7.55,65.6666666666667,4.23333333333333,0,0,2.88333333333333,202.4,18.65,29.65,1.68333333333333,9.91666666666667,0.816666666666667,11,4.8,62.1666666666667,419.466666666667,357.3,80.3333333333333,0,346.3,327.65,338.65,0.025,138,7,6,3,2,13,10,10,9,9
"Gemsbok 3","G3F008","Tlow",2015-02-20,0.25,0.566666666666667,0.0333333333333333,0,0,0.333333333333333,74.5166666666667,0.166666666666667,13.4666666666667,0.0833333333333333,4.51666666666667,1.8,1.58333333333333,1.61666666666667,68.2333333333333,166.85,98.6166666666667,1.18333333333333,0,97.0333333333333,96.8666666666667,98.45,0.257,143,7,6,3,2,13,10,10,9,9
"Gemsbok 3","G3F008","Thigh",2015-03-06,2.76666666666667,11.0333333333333,1.2,0,0,1.31666666666667,134.533333333333,4.66666666666667,36.85,0.45,8.55,14.05,2.23333333333333,6.91666666666667,66.7666666666667,292.75,225.983333333333,16.3166666666667,0,223.75,219.083333333333,221.316666666667,0.499,141,7,6,3,2,13,11,10,10,9
"Gemsbok 3","G3F011","Control",2015-02-20,0.0166666666666667,0.2,0,0.266666666666667,0.466666666666667,0.666666666666667,50.4833333333333,0.0833333333333333,29.9166666666667,0,2.51666666666667,0.0833333333333333,5.56666666666667,0,37.8666666666667,128.133333333333,90.2666666666667,1.61666666666667,0.733333333333333,84.7,84.6166666666667,90.1833333333333,0.101,149,5,6,1,2,13,10,10,9,9
"Gemsbok 3","G3F011","Tlow",2015-03-06,1.76666666666667,7.81666666666667,1.06666666666667,0,0.0666666666666667,0.55,72.2333333333333,4.13333333333333,49.1833333333333,0.283333333333333,6.71666666666667,4.5,0.116666666666667,0,39.45,187.616666666667,148.166666666667,11.2666666666667,0.0666666666666667,148.05,143.916666666667,144.033333333333,0.289,150,5,6,1,2,13,11,10,10,9
"Gemsbok 3","G3F011","Thigh",2015-02-06,6.15,35.8333333333333,20.1833333333333,0.633333333333333,0.533333333333333,4.06666666666667,133.383333333333,12.2666666666667,26.95,0.716666666666667,4.98333333333333,3.81666666666667,8.68333333333333,2.88333333333333,35.9333333333333,294.416666666667,258.483333333333,67.4,1.16666666666667,249.8,237.533333333333,246.216666666667,0.432,154,5,6,1,1,13,10,10,9,9
"Gemsbok 4","G4F002","Control",2015-03-16,3.95,16.6666666666667,5.33333333333333,1.03333333333333,0.416666666666667,0.45,61.6666666666667,6.9,38.0666666666667,0,2.5,0.35,0,0,46.35,183.666666666667,137.316666666667,27.85,1.45,137.316666666667,130.416666666667,130.416666666667,0.083,162,1,8,1,0,13,11,8,8,7
"Gemsbok 4","G4F002","Tlow",2015-04-14,6.03333333333333,0.666666666666667,0.316666666666667,0,0.15,0,42.5333333333333,0.666666666666667,24.7833333333333,0,1.08333333333333,0,0,0,42.65,118.916666666667,76.2666666666667,7.16666666666667,0.15,76.2666666666667,75.6,75.6,0.34,160,2,8,2,0,13,11,11,8,8
"Gemsbok 4","G4F002","Thigh",2015-03-28,3.1,12.2833333333333,7.48333333333333,0,0,1.23333333333333,87.5833333333333,36.7666666666667,39.2666666666667,0,6.6,0.866666666666667,5.28333333333333,0,37.95,238.416666666667,200.466666666667,24.1,0,195.183333333333,158.416666666667,163.7,0.394,158,1,8,1,1,13,11,11,8,8
"Gemsbok 4","G4F004","Control",2015-04-14,0.05,0,0.316666666666667,0,3.18333333333333,1.41666666666667,39.5166666666667,0,43.7833333333333,1.05,2.08333333333333,0,0.916666666666667,0,41.8166666666667,133.1,91.2833333333333,4.96666666666667,3.18333333333333,90.3666666666667,90.3666666666667,91.2833333333333,0.026,143,5,8,3,0,13,11,11,8,8
"Gemsbok 4","G4F004","Tlow",2015-03-28,0.2,0.566666666666667,1.56666666666667,0.0333333333333333,0.583333333333333,1.26666666666667,100.9,9.03333333333333,24,0.366666666666667,3.38333333333333,0,1.26666666666667,0,49.3166666666667,192.1,142.783333333333,4.21666666666667,0.616666666666667,141.516666666667,132.483333333333,133.75,0.16,144,5,8,3,1,13,11,11,8,8
"Gemsbok 4","G4F004","Thigh",2015-03-16,0.116666666666667,1.26666666666667,1.63333333333333,0.183333333333333,0.283333333333333,0.816666666666667,62.1,0.166666666666667,22.7666666666667,0,5.28333333333333,5.36666666666667,0,0,54.7666666666667,154.75,99.9833333333333,4.3,0.466666666666667,99.9833333333333,99.8166666666667,99.8166666666667,0.597,148,4,8,2,1,13,11,8,8,7
"Lonely 6","L6F001","Control",2015-04-17,3.2,35.65,6.18333333333333,0.0333333333333333,0,3.46666666666667,107.933333333333,64.3,22.2666666666667,0,13.4833333333333,0,5.13333333333333,0,58.35,319.983333333333,261.633333333333,48.5333333333333,0.0333333333333333,256.5,192.2,197.333333333333,0.017,127,6,4,3,2,7,7,7,6,6
"Lonely 6","L6F001","Tlow",2015-03-20,3.5,42.5,7.2,0.233333333333333,0.483333333333333,0.516666666666667,82.9,37.1666666666667,12.1,0,10.8,10.3166666666667,0,0,50.1833333333333,257.866666666667,207.683333333333,54.4333333333333,0.716666666666667,207.683333333333,170.516666666667,170.516666666667,0.243,126,5,4,2,2,7,6,6,6,6
"Lonely 6","L6F001","Thigh",2015-04-03,12.1166666666667,41.3,21.1166666666667,0.25,0.0333333333333333,4.93333333333333,165.85,56.2333333333333,19.4666666666667,0,10.95,0.233333333333333,0.0833333333333333,0,23.6,356.183333333333,332.583333333333,79.75,0.283333333333333,332.5,276.266666666667,276.35,0.254,123,5,4,2,1,7,7,6,6,6
"Lonely 6","L6F005","Control",2015-03-20,8.75,31.15,7.61666666666667,0.85,2.41666666666667,2.6,109.366666666667,61.9333333333333,36.9666666666667,0,11.8666666666667,0.266666666666667,0.733333333333333,0,46.8333333333333,321.416666666667,274.583333333333,53.3833333333333,3.26666666666667,273.85,211.916666666667,212.65,0.01,126,5,4,2,2,7,6,6,6,6
"Lonely 6","L6F005","Tlow",2015-04-03,7,51.9833333333333,16.1333333333333,0.0833333333333333,0.0333333333333333,7.93333333333333,129.216666666667,32.45,37.3666666666667,0,9.11666666666667,2.26666666666667,0,0,37.1333333333333,330.733333333333,293.6,83.1666666666667,0.116666666666667,293.6,261.15,261.15,0.089,134,4,4,1,0,7,7,6,6,6
"Lonely 6","L6F005","Thigh",2015-04-17,3.28333333333333,13.7166666666667,8.26666666666667,1.16666666666667,1.81666666666667,3.65,109.75,61.7,44.8833333333333,0.15,8.46666666666667,11.15,0.0666666666666667,0,32.6166666666667,300.466666666667,267.85,31.9,2.98333333333333,267.783333333333,206.083333333333,206.15,0.187,134,3,4,1,2,7,7,7,6,6
